name,service_area,craft_type,phone,email,website,address,notes,source,status,score,latitude,longitude,scraped_at,category,quality_score,profile,enriched_by,type,match_key
Test Contractor 1,Toronto,stonemason,416-555-1234,test1@example.com,https://example1.com,"123 Test St, Toronto, ON",Test notes,test,,,,,,,,,,,
Western Granite & Stone Ltd.,Calgary,craft:stonemason,+1-403-769-9064,westerngraniteandstoneltd@hotmail.com,https://westerngranite.ca/,3611 27 Street NE,,OSM_Auto,scraped,12.0,51.0850931,-113.995352,2025-09-09T09:54:38.520447,,,,,contractor,
Evolution Custom Cabinetry & Millwork,Calgary,craft:carpenter,,,,6027 79 Avenue SE,,OSM_Auto,scraped,5.0,50.9813859,-113.9425707,2025-09-09T09:54:42.681925,,,,,contractor,
Art In Stone,Vancouver,craft:stonemason,+1 778 751 0300,info@artinstoneco.com,https://artinstoneco.com,2080 Clark Drive,,OSM_Auto,scraped,12.0,49.2667846,-123.0770765,2025-09-09T09:55:13.375952,,,,,contractor,
Heritage Lumber,Vancouver,craft:carpenter,+1-604-621-9663,fraser@heritagelumber.ca,https://heritagelumber.ca/,8729 Aisne Street,,OSM_Auto,scraped,12.0,49.2069073,-123.122274,2025-09-09T09:55:17.743969,,,,,contractor,
RIR Contracting,Vancouver,craft:carpenter,+1-778-558-8688,,https://rircontracting.com/,2986 West 10th Avenue,,OSM_Auto,scraped,10.0,49.2631252,-123.1713528,2025-09-09T09:55:17.743969,,,,,contractor,
Chapel Arts Woodworking,Vancouver,craft:carpenter,,,https://www.chapelarts.com/,305 Dunlevy Avenue,,OSM_Auto,scraped,8.0,49.2819289,-123.0956781,2025-09-09T09:55:17.743969,,,,,contractor,
Portrait Memorials Inc,Mississauga,craft:stonemason,,,http://www.portraitmemorials.com/,,,OSM_Auto,scraped,8.0,43.5778547,-79.5580829,2025-09-09T09:59:20.254748,,,,,contractor,
C.B. Marblecraft,Mississauga,craft:stonemason,+1-416-741-1585,info@cbmarblecraft.com,http://cbmarblecraft.com/,17 Airview Road,,OSM_Auto,scraped,12.0,43.72056,-79.5753131,2025-09-09T09:59:20.254748,,,,,contractor,
Ritcey Custom Cabinetry,Mississauga,craft:carpenter,,,,2133 Royal Windsor Drive,,OSM_Auto,scraped,5.0,43.5097692,-79.6331727,2025-09-09T09:59:25.669031,,,,,contractor,
McKerr Custom Carpentry,Mississauga,craft:carpenter,,,,2133 Royal Windsor Drive,,OSM_Auto,scraped,5.0,43.5096292,-79.6330723,2025-09-09T09:59:25.669031,,,,,contractor,
MJL Joinery Ltd,Surrey,craft:carpenter,020 7737 4450,,https://www.madefern.co.uk,,,OSM_Auto,scraped,10.0,51.4650474,-0.1030108,2025-09-09T11:00:42.784970,,,,,contractor,
ShuttersUp,Surrey,craft:carpenter,,,,,,OSM_Auto,scraped,5.0,51.3801027,-0.0143945,2025-09-09T11:00:42.784970,,,,,contractor,
A B Carpentry & Building Ltd,Surrey,craft:carpenter,,,,99A Hawes Lane,,OSM_Auto,scraped,5.0,51.3764116,-0.0082156,2025-09-09T11:00:42.784970,,,,,contractor,
WG Studios Ltd.,Surrey,craft:carpenter,,,,Belinda Road,,OSM_Auto,scraped,5.0,51.4642979,-0.1054011,2025-09-09T11:00:42.784970,,,,,contractor,
Artisans Carpentry,Surrey,craft:carpenter,,,https://www.artisanscarpentry.com,29 Summerstown,,OSM_Auto,scraped,8.0,51.4324018,-0.1846148,2025-09-09T11:00:42.784970,,,,,contractor,
Atelier de Marbrerie,Laval,craft:stonemason,,,,,,OSM_Auto,scraped,5.0,48.0596988,-0.7848299,2025-09-09T11:01:05.598309,,,,,contractor,
Element 7,London,craft:stonemason,,,,,,OSM_Auto,scraped,5.0,51.4759511,-0.2002914,2025-09-09T11:01:34.119833,,,,,contractor,
R. Munday & Sons,London,craft:stonemason,,,,982 Harrow Road,,OSM_Auto,scraped,5.0,51.5304148,-0.2283204,2025-09-09T11:01:34.119833,,,,,contractor,
R. Gray & Son,London,craft:stonemason,,,,,,OSM_Auto,scraped,5.0,51.4501457,-0.0580338,2025-09-09T11:01:34.119833,,,,,contractor,
London Stone,London,craft:stonemason,,,,,,OSM_Auto,scraped,5.0,51.3148897,0.1160462,2025-09-09T11:01:34.119833,,,,,contractor,
A.Elfes Monumental Masons,London,craft:stonemason,,,,130 High Street,,OSM_Auto,scraped,5.0,51.6122901,-0.2808226,2025-09-09T11:01:34.119833,,,,,contractor,
UK Smart Build,London,craft:carpenter,,,https://www.uksmartbuild.com/,,,OSM_Auto,scraped,8.0,51.6167468,-0.0877003,2025-09-09T11:01:39.126902,,,,,contractor,
Alsans,London,craft:carpenter,,,,,,OSM_Auto,scraped,5.0,51.4768858,-0.1984463,2025-09-09T11:01:39.126902,,,,,contractor,
Hyperion,London,craft:carpenter,,,,,,OSM_Auto,scraped,5.0,51.4761484,-0.1998847,2025-09-09T11:01:39.126902,,,,,contractor,
Howdens Joinery,London,craft:carpenter,,,,"Units 3-4, 101 Blackhorse Lane",,OSM_Auto,scraped,5.0,51.5907202,-0.0407328,2025-09-09T11:01:39.126902,,,,,contractor,
MJL Joinery Ltd,London,craft:carpenter,020 7737 4450,,https://www.madefern.co.uk,,,OSM_Auto,scraped,10.0,51.4650474,-0.1030108,2025-09-09T11:01:39.126902,,,,,contractor,
C.B. Marblecraft,Etobicoke,craft:stonemason,+1-416-741-1585,info@cbmarblecraft.com,http://cbmarblecraft.com/,17 Airview Road,,OSM_Auto,scraped,12.0,43.72056,-79.5753131,2025-09-09T11:02:05.101615,,,,,contractor,
Heres Renovations,Markham,craft:carpenter,,,http://www.heresrenovations.com/,2267 Bethesda Sideroad,,OSM_Auto,scraped,8.0,43.9604841,-79.3810834,2025-09-09T11:02:39.452846,,,,,contractor,
Valleau Custom Woodworking,Markham,craft:carpenter,+1 416-433-0480,,https://www.instagram.com/valleaucustomwoodworking/?hl=en,86 Ringwood Drive,,OSM_Auto,scraped,10.0,43.9624008,-79.2736871,2025-09-09T11:02:39.452846,,,,,contractor,
Rocco Masons Corp,Saskatoon,craft:stonemason,+1-306-270-3247,,https://www.roccomasons.com/,510 Lauriston Street,,OSM_Auto,scraped,10.0,52.1431635,-106.6545013,2025-09-09T12:03:20.533466,,,,,contractor,
Hy-Grade Millwork Ltd,Saskatoon,craft:carpenter,+1-306-653-1595,info@hy-grade.net,https://hy-grade.net/,624 Lauriston Street,,OSM_Auto,scraped,12.0,52.1432282,-106.6532809,2025-09-09T12:03:26.391438,,,,,contractor,
Ottawa Tool Library,Gatineau,craft:carpenter,+1 613-868-0178,,https://ottawatoollibrary.com/,877 Boyd Avenue,,OSM_Auto,scraped,10.0,45.3758732,-75.7500914,2025-09-09T12:03:50.097359,,,,,contractor,
Cabinet Tech,Gatineau,craft:carpenter,,,,3205 Swansea Crescent,,OSM_Auto,scraped,5.0,45.3826648,-75.6053679,2025-09-09T12:03:50.097359,,,,,contractor,
Muskoka Cabinet Company,Gatineau,craft:carpenter,,,,2515 St-Laurent Boulevard,,OSM_Auto,scraped,5.0,45.3794982,-75.6304863,2025-09-09T12:03:50.097359,,,,,contractor,
DIY Cabinet Warehouse,Gatineau,craft:carpenter,,,,2285 Gladwin Crescent,,OSM_Auto,scraped,5.0,45.4039576,-75.6235501,2025-09-09T12:03:50.097359,,,,,contractor,
Kitchen Craft Cabinetry,Gatineau,craft:carpenter,,,,2287 Gladwin Crescent,,OSM_Auto,scraped,5.0,45.4038371,-75.6234965,2025-09-09T12:03:50.097359,,,,,contractor,
Ritcey Custom Cabinetry,Oakville,craft:carpenter,,,,2133 Royal Windsor Drive,,OSM_Auto,scraped,5.0,43.5097692,-79.6331727,2025-09-09T12:04:22.449556,,,,,contractor,
McKerr Custom Carpentry,Oakville,craft:carpenter,,,,2133 Royal Windsor Drive,,OSM_Auto,scraped,5.0,43.5096292,-79.6330723,2025-09-09T12:04:22.450562,,,,,contractor,
Martin-Star,Richmond,craft:carpenter,,,,,,OSM_Auto,scraped,5.0,37.5477239,-77.4613465,2025-09-09T13:04:45.768376,,,,,contractor,
